paper_key,doi,title,year,url,sources,source_identifiers,snapshots,categories,tasks,publication_types,abstract
doi:10.1007/978-3-642-33418-4_67,10.1007/978-3-642-33418-4_67,Ultrasound and fluoroscopic images fusion by autonomous ultrasound probe detection.,2012,https://doi.org/10.1007/978-3-642-33418-4_67,Europe PMC; OpenAlex,MED/23286091; https://openalex.org/W171975517,epmc_arxiv; multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""Journal Article""]","New minimal-invasive interventions such as transcatheter valve procedures exploit multiple imaging modalities to guide tools (fluoroscopy) and visualize soft tissue (transesophageal echocardiography (TEE)). Currently, these complementary modalities are visualized in separate coordinate systems and on separate monitors creating a challenging clinical workflow. This paper proposes a novel framework for fusing TEE and fluoroscopy by detecting the pose of the TEE probe in the fluoroscopic image. Probe pose detection is challenging in fluoroscopy and conventional computer vision techniques are not well suited. Current research requires manual initialization or the addition of fiducials. The main contribution of this paper is autonomous six DoF pose detection by combining discriminative learning techniques with a fast binary template library. The pose estimation problem is reformulated to incrementally detect pose parameters by exploiting natural invariances in the image. The theoretical contribution of this paper is validated on synthetic, phantom and in vivo data. The practical application of this technique is supported by accurate results (< 5 mm in-plane error) and computation time of 0.5s."
doi:10.1007/s00132-025-04753-1,10.1007/s00132-025-04753-1,Palpation sensing for robotic-assisted surgery Palpationssensorik für die robotergestützte Chirurgie,2025,https://doi.org/10.1007/s00132-025-04753-1,Crossref,10.1007/s00132-025-04753-1,multisource_preferred,Response-based interactive diagnosis,机器人触诊/肿块搜索,"[""journal-article""]","Abstract Palpation and haptic feedback are vital for improving surgical precision, safety and decision-making in robotic-assisted surgery (RAS). Current RAS systems largely rely on visual input, lacking tactile feedback and autonomy, which increases training demands and limits scalability. The absence of touch impairs tissue characterization, complicates diagnostics and elevates the risk of unintended damage. Integrating haptics, through force sensors, tactile interfaces and emerging audio-based tools, has shown promise in restoring a sense of touch, particularly when enhanced by artificial intelligence and multimodal feedback systems. These technologies will enable interpretation of real-time data, improved tissue discrimination and reduced application of force, especially valuable in minimally invasive procedures. While progress has been made challenges remain in sensor miniaturization, biocompatibility and system integration; however, achieving semiautonomous and fully autonomous RAS requires intelligent sensing platforms combined with AI-driven analytics, and feedback mechanisms that approach human tactile perception. As tactile simulation technologies evolve, future surgical robots will operate with greater autonomy, improved accuracy and broader global accessibility. The field is moving toward a new paradigm: surgical robots as intelligent, adaptive systems capable of performing or assisting procedures collaboratively or independently, using real-time sensing and control to optimize outcomes and reduce reliance on human expertise."
doi:10.1007/s00138-017-0905-8,10.1007/s00138-017-0905-8,Sparse-then-Dense Alignment based 3D Map Reconstruction Method for Endoscopic Capsule Robots,2017,https://doi.org/10.1007/s00138-017-0905-8,arXiv,http://arxiv.org/abs/1708.09740v1,multisource_preferred,Active observational sensing,磁控/主动胶囊内镜巡检,"[""preprint""]","Since the development of capsule endoscopcy technology, substantial progress were made in converting passive capsule endoscopes to robotic active capsule endoscopes which can be controlled by the doctor. However, robotic capsule endoscopy still has some challenges. In particular, the use of such devices to generate a precise and globally consistent three-dimensional (3D) map of the entire inner organ remains an unsolved problem. Such global 3D maps of inner organs would help doctors to detect the location and size of diseased areas more accurately, precisely, and intuitively, thus permitting more accurate and intuitive diagnoses. The proposed 3D reconstruction system is built in a modular fashion including preprocessing, frame stitching, and shading-based 3D reconstruction modules. We propose an efficient scheme to automatically select the key frames out of the huge quantity of raw endoscopic images. Together with a bundle fusion approach that aligns all the selected key frames jointly in a globally consistent way, a significant improvement of the mosaic and 3D map accuracy was reached. To the best of our knowledge, this framework is the first complete pipeline for an endoscopic capsule robot based 3D map reconstruction containing all of the necessary steps for a reliable and accurate endoscopic 3D map. For the qualitative evaluations, a real pig stomach is employed. Moreover, for the first time in literature, a detailed and comprehensive quantitative analysis of each proposed pipeline modules is performed using a non-rigid esophagus gastro duodenoscopy simulator, four different endoscopic cameras, a magnetically activated soft capsule robot (MASCE), a sub-millimeter precise optical motion tracker and a fine-scale 3D optical scanner."
doi:10.1007/s00404-026-08395-2,10.1007/s00404-026-08395-2,Robotic-integrated intraoperative ultrasound for excision of accessory cavitated uterine malformation (ACUM): an innovative surgical technique,2026,https://doi.org/10.1007/s00404-026-08395-2,Crossref,10.1007/s00404-026-08395-2,multisource_preferred,Active observational sensing,机器人超声扫描,"[""journal-article""]","Abstract Background Accessory cavitated uterine mass (ACUM) is a rare Mullerian anomaly that predominantly affects young women, presenting with refractory dysmenorrhea. Despite 3D ultrasound and MRI being the gold standard for diagnosis, diagnostic delays and accuracy limitations continue to hinder timely management. The deep intra-myometrial location of this anomaly poses significant surgical challenges in achieving complete excision while preserving healthy myometrium. Case Presentation A 22-year-old nulliparous woman presented with incapacitating cyclical pelvic pain and was diagnosed with ACUM. She underwent surgical management using a novel robotic-assisted technique. Technique The procedure utilised robotic-integrated intraoperative ultrasound via a drop-in probe, enabling real-time identification of lesion margins, vascular mapping, and confirmation of complete lesion excision. This approach minimised loss of healthy myometrium and preserved endometrial cavity integrity. Outcome The patient reported complete symptom resolution postoperatively. Integration of real-time intraoperative ultrasound within the robotic platform enhanced surgical precision, reduced surgical trauma, and has the potential to improve reproductive outcomes. Conclusion Robotic-assisted excision of ACUM with intraoperative ultrasound guidance represents an innovative and precise surgical technique. This approach addresses the key challenges of lesion localisation and myometrial preservation, offering a promising strategy for managing this rare condition in women of reproductive age."
doi:10.1007/s00464-018-6405-8,10.1007/s00464-018-6405-8,Artificial palpation in robotic surgery using haptic feedback.,2019,https://doi.org/10.1007/s00464-018-6405-8,Europe PMC,MED/30187198,epmc_arxiv; multisource_preferred,Response-based interactive diagnosis; 响应式交互检测,机器人触诊; 机器人触诊/肿块搜索,"[""research-article"", ""Journal Article"", ""Research Support, N.I.H., Extramural""]","Background The loss of tactile feedback in minimally invasive robotic surgery remains a major challenge to the expanding field. With visual cue compensation alone, tissue characterization via palpation proves to be immensely difficult. This work evaluates a bimodal vibrotactile system as a means of conveying applied forces to simulate haptic feedback in two sets of studies simulating an artificial palpation task using the da Vinci surgical robot. Methods Subjects in the first study were tasked with localizing an embedded vessel in a soft tissue phantom using a single-sensor unit. In the second study, subjects localized tumor-like structures using a three-sensor array. In both sets of studies, subjects completed the task under three trial conditions: no feedback, normal force tactile feedback, and hybrid vibrotactile feedback. Recordings of correct localization, incorrect localization, and time-to-completion were used to evaluate performance outcomes. Results With the addition of vibrotactile and pneumatic feedback, significant improvements in the percentage of correct localization attempts were detected (p = 0.0001 and p = 0.0459, respectively) during the first experiment with phantom vessels. Similarly, significant improvements in correct localization were found with the addition of vibrotactile (p = 2.57E-5) and pneumatic significance (p = 8.54E-5) were observed in the second experiment involving tumor phantoms. Conclusions This work demonstrates not only the superior benefits of a multi-modal feedback over traditional single-modality feedback, but also the effectiveness of vibration in providing haptic feedback to artificial palpation systems."
doi:10.1007/s00464-025-12415-8,10.1007/s00464-025-12415-8,Application of artificial intelligence for detection of Helicobacter pylori infection by magnetically controlled capsule endoscopy.,2026,https://doi.org/10.1007/s00464-025-12415-8,Europe PMC,MED/41295999,multisource_preferred,Active observational sensing,磁控/主动胶囊内镜巡检,"[""Journal Article""]","Background Application of artificial intelligence (AI) in magnetically controlled capsule endoscopy (MCCE) is increasing. The aim of this study was to develop an AI system that can automatically detect Helicobacter pylori (H. pylori) infection in MCCE images and to evaluate the diagnostic performance of the system. Methods This study prospectively enrolled subjects with known H. pylori infection status for MCCE examination between April 2022 and March 2023. The MCCE images were collected and prepared for the data set (80% for training, 10% for validation and 10% for testing). Four convolutional neural network models (i.e., MobileNetV2, DenseNet264, ShuffleNetV2 and ResNet50) were applied in the AI system respectively. We evaluated their diagnostic performance and identify the optimal model by calculating the accuracy, sensitivity, specificity, and average reading time for per image. Results A total of 142 subjects were registered including 71 H. pylori-positive and 71 H. pylori-negative. The numbers of images in the training set, validation set and testing set were 25,985 (114 patients), 2767 (14 patients), and 3027 (14 patients), respectively. The accuracy, sensitivity, specificity, and average reading time for per image of each CNN model were as follows: MobileNetV2 model, 95.7, 98.1, 93.3% and 0.01176 s; DenseNet264 model, 95.3, 98.5, 92.2% and 0.04572 s; ShuffleNetV2 model, 95.7, 98.5, 93.1% and 0.00588 s; ResNet50 model, 95.1, 95.8, 94.5% and 0.01110 s, respectively. Conclusions The AI system based on the ShuffleNetV2 model achieved better performance, highlighting its potential for future application to help clinicians detect H. pylori infection in MCCE examination."
doi:10.1007/s10396-026-01667-z,10.1007/s10396-026-01667-z,Feasibility and preliminary validation of an autonomous robotic ultrasound system for thyroid nodule screening: a pilot prospective study.,2026,https://doi.org/10.1007/s10396-026-01667-z,Europe PMC; OpenAlex,MED/42401697; https://openalex.org/W7167328246,epmc_arxiv; multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""Journal Article""]","Purpose Thyroid nodules are highly prevalent in the general population, yet large-scale ultrasound screening is limited by its reliance on experienced sonographers. Autonomous robotic ultrasound systems have the potential to enable standardized thyroid screening with reduced operator dependency. Methods In this pilot prospective study, a fully autonomous robotic ultrasound system was evaluated for thyroid nodule screening in a clinical setting. Twenty-one consecutive participants underwent both autonomous robotic ultrasound and standard operator-performed ultrasound examinations in a randomized order. The primary outcome was participant-level thyroid nodule detection rate compared with operator-performed ultrasound. Secondary outcomes included feasibility, thyroid gland coverage, and participant-reported comfort. Results Autonomous robotic ultrasound was successfully completed without human intervention in 20 of 21 participants (95.2%). Thyroid nodules were identified on operator-performed ultrasound in nine participants, of whom eight were correctly detected by the autonomous system, corresponding to a participant-level detection rate of 88.9%. Complete coverage of the left lobe, right lobe, and isthmus was achieved in 100%, 95%, and 80% of participants, respectively. Participant-reported comfort was neutral to positive, with a median Likert score of 3 (interquartile range, 3-4). Conclusion This pilot study demonstrated the feasibility of fully autonomous robotic ultrasound for standardized thyroid nodule screening. The system achieved high completion rates and acceptable screening performance in a controlled clinical setting, supporting further validation in larger and more diverse populations."
doi:10.1007/s10846-022-01615-2,10.1007/s10846-022-01615-2,A Visual Servo Controlled Robotic System for MRI-guided Breast Biopsy,2022,https://doi.org/10.1007/s10846-022-01615-2,Crossref,10.1007/s10846-022-01615-2,multisource_preferred,Sample-based interactive diagnosis,机器人经皮/芯针活检,"[""journal-article""]",
doi:10.1007/s11431-022-2232-5,10.1007/s11431-022-2232-5,Puncture site decision method for venipuncture robot based on near-infrared vision and multiobjective optimization.,2023,https://doi.org/10.1007/s11431-022-2232-5,Europe PMC,MED/36570559,epmc_arxiv; multisource_preferred,Sample-based interactive diagnosis; 采样式交互检测,机器人采血/静脉穿刺; 机器人静脉穿刺/采血,"[""research-article"", ""Journal Article""]","Venipuncture robots have superior perception and stability to humans and are expected to replace manual venipuncture. However, their use is greatly restricted because they cannot make decisions regarding the puncture sites. Thus, this study presents a multi-information fusion method for determining puncture sites for venipuncture robots to improve their autonomy in the case of limited resources. Here, numerous images have been gathered and processed to establish an image dataset of human forearms for training the U-Net with the soft attention mechanism (SAU-Net) for vein segmentation. Then, the veins are segmented from the images, feature information is extracted based on near-infrared vision, and a multiobjective optimization model for puncture site decision is provided by considering the depth, diameter, curvature, and length of the vein to determine the optimal puncture site. Experiments demonstrate that the method achieves a segmentation accuracy of 91.2% and a vein extraction rate of 86.7% while achieving the Pareto solution set (average time: 1.458 s) and optimal results for each vessel. Finally, a near-infrared camera is applied to the venipuncture robot to segment veins and determine puncture sites in real time, with the results transmitted back to the robot for an attitude adjustment. Consequently, this method can enhance the autonomy of venipuncture robots if implemented dramatically."
doi:10.1007/s11432-018-9664-3,10.1007/s11432-018-9664-3,Automatic ultrasound scanning system based on robotic arm,2019,https://doi.org/10.1007/s11432-018-9664-3,Crossref,10.1007/s11432-018-9664-3,multisource_preferred,Active observational sensing,机器人超声扫描,"[""journal-article""]",
doi:10.1007/s11432-024-4288-3,10.1007/s11432-024-4288-3,Toward eFAST autonomous robotic ultrasound imaging: system integrations and experimental studies,2025,https://doi.org/10.1007/s11432-024-4288-3,Crossref; OpenAlex,10.1007/s11432-024-4288-3; https://openalex.org/W4407565851,multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,article,
doi:10.1007/s11548-017-1561-1,10.1007/s11548-017-1561-1,On the reproducibility of expert-operated and robotic ultrasound acquisitions.,2017,https://doi.org/10.1007/s11548-017-1561-1,Europe PMC,MED/28321804,epmc_arxiv; multisource_preferred,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""Journal Article""]","Purpose We present the evaluation of the reproducibility of measurements performed using robotic ultrasound imaging in comparison with expert-operated sonography. Robotic imaging for interventional procedures may be a valuable contribution, but requires reproducibility for its acceptance in clinical routine. We study this by comparing repeated measurements based on robotic and expert-operated ultrasound imaging. Methods Robotic ultrasound acquisition is performed in three steps under user guidance: First, the patient is observed using a 3D camera on the robot end effector, and the user selects the region of interest. This allows for automatic planning of the robot trajectory. Next, the robot executes a sweeping motion following the planned trajectory, during which the ultrasound images and tracking data are recorded. As the robot is compliant, deviations from the path are possible, for instance due to patient motion. Finally, the ultrasound slices are compounded to create a volume. Repeated acquisitions can be performed automatically by comparing the previous and current patient surface. Results After repeated image acquisitions, the measurements based on acquisitions performed by the robotic system and expert are compared. Within our case series, the expert measured the anterior-posterior, longitudinal, transversal lengths of both of the left and right thyroid lobes on each of the 4 healthy volunteers 3 times, providing 72 measurements. Subsequently, the same procedure was performed using the robotic system resulting in a cumulative total of 144 clinically relevant measurements. Our results clearly indicated that robotic ultrasound enables more repeatable measurements. Conclusions A robotic ultrasound platform leads to more reproducible data, which is of crucial importance for planning and executing interventions."
