citekey,citation_occurrences,title,year,doi,url,metadata_status,provenance
lin2022ferrobotic,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
lin2025autoruss,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
liu2020consortai,1,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,10.1038/s41591-020-1034-x,https://www.nature.com/articles/s41591-020-1034-x,verified_crossref,archived_library
liu2022audit,1,The medical algorithmic audit,2022,10.1016/s2589-7500(22)00003-6,https://www.thelancet.com/journals/landig/article/PIIS2589-7500\%2822\%2900003-6/fulltext,verified_crossref,archived_library
macleod2020sdl,2,Self-driving laboratory for accelerated discovery of thin-film materials,2020,10.1126/sciadv.aaz8867,https://www.science.org/doi/10.1126/sciadv.aaz8867,verified_crossref,archived_library
Malic2025SepsisMicrofluidics,1,A machine learning and centrifugal microfluidics platform for bedside prediction of sepsis,2025,10.1038/s41467-025-59227-x,https://doi.org/10.1038/s41467-025-59227-x,verified_crossref,archived_library
marcus2024ideal,3,"The IDEAL framework for surgical robotics: development, comparative evaluation and long-term monitoring",2024,10.1038/s41591-023-02732-7,https://www.nature.com/articles/s41591-023-02732-7,verified_crossref,archived_library
martinezmartin2021ambient,2,Ethical issues in using ambient intelligence in health-care settings,2021,10.1016/s2589-7500(20)30275-2,https://www.thelancet.com/journals/landig/article/PIIS2589-7500\%2820\%2930275-2/fulltext,verified_crossref,archived_library
mcdonald2024lhs,1,Data to knowledge to improvement: creating the learning health system,2024,10.1136/bmj-2023-076175,https://www.bmj.com/content/384/bmj-2023-076175,verified_crossref,archived_library
Mehrholz2018RobotArmTraining,1,Electromechanical and robot-assisted arm training for improving activities of daily living arm function and arm muscle strength after stroke,2018,10.1002/14651858.cd006876.pub5,https://doi.org/10.1002/14651858.CD006876.pub5,verified_crossref,archived_library
mincu2022benchmarks,1,Developing robust benchmarks for driving forward AI innovation in healthcare,2022,10.1038/s42256-022-00559-4,https://www.nature.com/articles/s42256-022-00559-4,verified_crossref,archived_library
mishra2020presymptomatic,2,Pre-symptomatic detection of COVID-19 from smartwatch data,2020,10.1038/s41551-020-00640-6,https://www.nature.com/articles/s41551-020-00640-6,verified_crossref,archived_library
Mlakar2025SocialRobotPilot,1,A randomized pilot study evaluating socially assistive robot effects on patient engagement and care quality,2025,10.1038/s41746-025-02117-9,https://doi.org/10.1038/s41746-025-02117-9,verified_crossref,archived_library
mol2026adopt,3,,,,,verified_doi_content_negotiation,targeted_primary_evidence
Narang2021GuidedEchoAcquisition,1,Utility of a deep-learning algorithm to guide novices to acquire echocardiograms for limited diagnostic use,2021,10.1001/jamacardio.2021.0185,https://doi.org/10.1001/jamacardio.2021.0185,verified_crossref,archived_library
Nordin2024PreanalyticalErrors,2,Preanalytical errors in clinical laboratory testing at a glance: source and control measures,2024,10.7759/cureus.57243,https://doi.org/10.7759/cureus.57243,verified_crossref,archived_library
obermeyer2019bias,1,Dissecting racial bias in an algorithm used to manage the health of populations,2019,10.1126/science.aax2342,https://www.science.org/doi/10.1126/science.aax2342,verified_crossref,archived_library
Park2020SmartToilet,1,A mountable toilet system for personalized health monitoring via the analysis of excreta,2020,10.1038/s41551-020-0534-9,https://doi.org/10.1038/s41551-020-0534-9,verified_crossref,archived_library
Plebani2010DetectionPrevention,3,The detection and prevention of errors in laboratory medicine,2010,10.1258/acb.2009.009222,https://doi.org/10.1258/acb.2009.009222,verified_crossref,archived_library
Pu2019SocialRobots,1,The effectiveness of social robots for older adults: a systematic review and meta-analysis of randomized controlled studies,2019,10.1093/geront/gny046,https://doi.org/10.1093/geront/gny046,verified_crossref,archived_library
qian2026capsuleqc,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
quer2024detectahead,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
Rapp2024SelfDrivingProtein,1,Self-driving laboratories to autonomously navigate the protein fitness landscape,2024,10.1038/s44286-023-00002-4,https://doi.org/10.1038/s44286-023-00002-4,verified_crossref,archived_library
ren2008dropletfeedback,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
rose2019precision,1,A longitudinal big data approach for precision health,2019,10.1038/s41591-019-0414-6,https://www.nature.com/articles/s41591-019-0414-6,verified_crossref,archived_library
scangos2021closedloop,2,Closed-loop neuromodulation in an individual with treatment-resistant depression,2021,10.1038/s41591-021-01480-w,https://www.nature.com/articles/s41591-021-01480-w,verified_crossref,archived_library
Schutz2022DigitalExhaust,1,A systems approach towards remote health-monitoring in older adults: introducing a zero-interaction digital exhaust,2022,10.1038/s41746-022-00657-y,https://doi.org/10.1038/s41746-022-00657-y,verified_crossref,archived_library
shih2014autoverification,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
sjoding2020oximetry,1,Racial bias in pulse oximetry measurement,2020,10.1056/nejmc2029240,https://www.nejm.org/doi/full/10.1056/NEJMc2029240,verified_crossref,archived_library
Slade2022RealWorldExoskeleton,1,Personalizing exoskeleton assistance while walking in the real world,2022,10.1038/s41586-022-05191-1,https://doi.org/10.1038/s41586-022-05191-1,verified_crossref,archived_library
son2020biopsyendoscope,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
sounderajah2025stardai,1,The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,2025,10.1038/s41591-025-03953-8,https://www.nature.com/articles/s41591-025-03953-8,verified_crossref,archived_library
Su2024AutonomousThyroidUltrasound,2,A fully autonomous robotic ultrasound system for thyroid scanning,2024,10.1038/s41467-024-48421-y,https://doi.org/10.1038/s41467-024-48421-y,verified_crossref,archived_library
swanson2021roboticoct,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
Traverso2023IngestibleVitals,1,First-in-human trial of an ingestible vitals-monitoring pill,2023,10.1016/j.device.2023.100125,https://doi.org/10.1016/j.device.2023.100125,verified_crossref,archived_library
tu2025amie,3,Towards conversational diagnostic artificial intelligence,2025,10.1038/s41586-025-08866-7,https://www.nature.com/articles/s41586-025-08866-7,verified_crossref,archived_library
turkmen2021autoverification,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
vandesande2026oversight,1,Meaningful oversight of medical AI beyond human in the loop,2026,10.1038/s41746-026-02971-1,https://www.nature.com/articles/s41746-026-02971-1,verified_crossref,archived_library
vardakastani2024palpation,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
vasey2022decideai,1,Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI,2022,10.1038/s41591-022-01772-9,https://www.nature.com/articles/s41591-022-01772-9,verified_crossref,archived_library
veinot2018inequality,1,Good intentions are not enough: how informatics interventions can worsen inequality,2018,10.1093/jamia/ocy052,https://academic.oup.com/jamia/article/25/8/1080/4996916,verified_crossref,archived_library
Wang2022WearableBiosensor,1,A wearable electrochemical biosensor for monitoring metabolites and nutrients,2022,10.1038/s41551-022-00916-z,https://doi.org/10.1038/s41551-022-00916-z,verified_crossref,archived_library
wang2023bloodrobot,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
wang2023roboticocted,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
weise2021activetms,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
who2021ethics,1,Ethics and governance of artificial intelligence for health,2021,,https://www.who.int/publications/i/item/9789240029200,manual_non_doi_source,archived_library
who2021evidence,1,"Generating Evidence for Artificial Intelligence-Based Medical Devices: A Framework for Training, Validation and Evaluation",2021,,https://www.who.int/publications/i/item/9789240038462,manual_non_doi_source,archived_library
yang2017medicalrobotics,4,"Medical robotics—Regulatory, ethical, and legal considerations for increasing levels of autonomy",2017,10.1126/scirobotics.aam8638,https://www.science.org/doi/10.1126/scirobotics.aam8638,verified_crossref,archived_library
Yang2022ParkinsonBreathing,1,Artificial intelligence-enabled detection and assessment of Parkinson's disease using nocturnal breathing signals,2022,10.1038/s41591-022-01932-x,https://doi.org/10.1038/s41591-022-01932-x,verified_crossref,archived_library
you2025deployment,1,Clinical trials informed framework for real-world clinical implementation and deployment of artificial intelligence applications,2025,10.1038/s41746-025-01506-4,https://www.nature.com/articles/s41746-025-01506-4,verified_crossref,archived_library
Yu2022DementiaSocialRobots,1,Socially assistive robots for people with dementia: systematic review and meta-analysis of feasibility acceptability and the effect on cognition neuropsychiatric symptoms and quality of life,2022,10.1016/j.arr.2022.101633,https://doi.org/10.1016/j.arr.2022.101633,verified_crossref,archived_library
Zargartalebi2024ActiveReset,1,Active-reset protein sensors enable continuous in vivo monitoring of inflammation,2024,10.1126/science.adn2600,https://doi.org/10.1126/science.adn2600,verified_crossref,archived_library
Zhang2017ExoskeletonOptimization,1,Human-in-the-loop optimization of exoskeleton assistance during walking,2017,10.1126/science.aal5054,https://doi.org/10.1126/science.aal5054,verified_crossref,archived_library
zhang2021autonomouscolonoscopy,2,,,,,verified_doi_content_negotiation,targeted_primary_evidence
zheng2026aorta,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
zhou2019multiomics,1,Longitudinal multi-omics of host–microbe dynamics in prediabetes,2019,10.1038/s41586-019-1236-x,https://www.nature.com/articles/s41586-019-1236-x,verified_crossref,archived_library
zitkovich2023rt2,1,{RT-2}: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,,https://proceedings.mlr.press/v229/zitkovich23a.html,official_pmlr_record,targeted_architectural_precedent
