source_dbs,source_ids,doi,pmid,title,year,publication_date,work_type,venue,cited_by_count,url,query_tasks,matched_tasks,included,exclusion_reason,class_code,class_en,class_zh,primary_task,task_en,task_zh,evidence_tier,abstract
OpenAlex,W4390632026; W4390495662,10.1146/annurev-control-091523-100042,,Machine Learning in Robotic Ultrasound Imaging: Challenges and Perspectives,2024,2024-01-02,article,Annual Review of Control Robotics and Autonomous Systems,45,https://doi.org/10.1146/annurev-control-091523-100042,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"This article reviews the recent advances in intelligent robotic ultrasound (US) imaging systems. We commence by presenting the commonly employed robotic mechanisms and control techniques in robotic US imaging, along with their clinical applications. Subsequently, we focus on the deployment of machine learning techniques in the development of robotic sonographers, emphasizing crucial developments aimed at enhancing the intelligence of these systems. The methods for achieving autonomous action reasoning are categorized into two sets of approaches: those relying on implicit environmental data interpretation and those using explicit interpretation. Throughout this exploration, we also discuss practical challenges, including those related to the scarcity of medical data, the need for a deeper understanding of the physical aspects involved, and effective data representation approaches. Moreover, we conclude by highlighting the open problems in the field and analyzing different possible perspectives on how the community could move forward in this research area."
OpenAlex; Europe PMC,W2801809762; MED:29671200,10.1007/s11548-018-1759-x,29671200,Robotic ultrasound-guided facet joint insertion,2018,2018-04-18,article,International Journal of Computer Assisted Radiology and Surgery,40,https://doi.org/10.1007/s11548-018-1759-x,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose</h4>Facet joint insertion is a common treatment of chronic pain in the back and spine. This procedure is often performed under fluoroscopic guidance, where the staff's repetitive radiation exposure remains an unsolved problem. Robotic ultrasound (rUS) has the potential to reduce or even eliminate the use of radiation by using ultrasound with a robotic-guided needle insertion. This work presents first clinical data of rUS-based needle insertions extending previous work of our group.<h4>Methods</h4>Our system implements an automatic US acquisition protocol combined with a calibrated needle targeting system. This approach assists the physician by positioning the needle holder on a trajectory selected in a 3D US volume of the spine.<h4>Results</h4>By the time of submission, nine facets were treated with our approach as first data from an ongoing clinical study. The insertion success rate was shown to be comparable to current clinical practice. Furthermore, US imaging offers additional anatomical context for needle trajectory planning.<h4>Conclusion</h4>This work shows first clinical data for robotic ultrasound-assisted facet joint insertion as a promising solution that can easily be incorporated into the clinical workflow. Presented results show the clinical value of such a system."
OpenAlex; Europe PMC,MED:27097600; W2336652059,10.1007/s11548-016-1408-1,27097600,Dual-robot ultrasound-guided needle placement: closing the planning-imaging-action loop,2016,2016-04-20,article,International Journal of Computer Assisted Radiology and Surgery,64,https://doi.org/10.1007/s11548-016-1408-1,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose</h4>Precise needle placement is an important task during several medical procedures. Ultrasound imaging is often used to guide the needle toward the target region in soft tissue. This task remains challenging due to the user's dependence on image quality, limited field of view, moving target, and moving needle. In this paper, we present a novel dual-robot framework for robotic needle insertions under robotic ultrasound guidance.<h4>Method</h4>We integrated force-controlled ultrasound image acquisition, registration of preoperative and intraoperative images, vision-based robot control, and target localization, in combination with a novel needle tracking algorithm. The framework allows robotic needle insertion to target a preoperatively defined region of interest while enabling real-time visualization and adaptive trajectory planning to provide safe and quick interactions. We assessed the framework by considering both static and moving targets embedded in water and tissue-mimicking gelatin.<h4>Results</h4>The presented dual-robot tracking algorithms allow for accurate needle placement, namely to target the region of interest with an error around 1 mm.<h4>Conclusion</h4>To the best of our knowledge, we show the first use of two independent robots, one for imaging, the other for needle insertion, that are simultaneously controlled using image processing algorithms. Experimental results show the feasibility and demonstrate the accuracy and robustness of the process."
OpenAlex,W3185513125,10.1016/j.bspc.2021.102900,,Tele-operated robotic ultrasound system for medical diagnosis,2021,2021-07-16,article,Biomedical Signal Processing and Control,39,https://doi.org/10.1016/j.bspc.2021.102900,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),
OpenAlex; Europe PMC,MED:23358940; W2172221059,10.1109/tbme.2013.2241430,23358940,Ultrasound Probe and Needle-Guide Calibration for Robotic Ultrasound Scanning and Needle Targeting,2013,2013-01-21,article,IEEE Transactions on Biomedical Engineering,52,https://doi.org/10.1109/tbme.2013.2241430,S4; A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Image-to-robot registration is a typical step for robotic image-guided interventions. If the imaging device uses a portable imaging probe that is held by a robot, this registration is constant and has been commonly named probe calibration. The same applies to probes tracked by a position measurement device. We report a calibration method for 2-D ultrasound probes using robotic manipulation and a planar calibration rig. Moreover, a needle guide that is attached to the probe is also calibrated for ultrasound-guided needle targeting. The method is applied to a transrectal ultrasound (TRUS) probe for robot-assisted prostate biopsy. Validation experiments include TRUS-guided needle targeting accuracy tests. This paper outlines the entire process from the calibration to image-guided targeting. Freehand TRUS-guided prostate biopsy is the primary method of diagnosing prostate cancer, with over 1.2 million procedures performed annually in the U.S. alone. However, freehand biopsy is a highly challenging procedure with subjective quality control. As such, biopsy devices are emerging to assist the physician. Here, we present a method that uses robotic TRUS manipulation. A 2-D TRUS probe is supported by a 4-degree-of-freedom robot. The robot performs ultrasound scanning, enabling 3-D reconstructions. Based on the images, the robot orients a needle guide on target for biopsy. The biopsy is acquired manually through the guide. In vitro tests showed that the 3-D images were geometrically accurate, and an image-based needle targeting accuracy was 1.55 mm. These validate the probe calibration presented and the overall robotic system for needle targeting. Targeting accuracy is sufficient for targeting small, clinically significant prostatic cancer lesions, but actual in vivo targeting will include additional error components that will have to be determined."
OpenAlex,W3171622331,10.1109/tim.2021.3085110,,Automatic 3-D Imaging and Measurement of Human Spines With a Robotic Ultrasound System,2021,2021-01-01,article,IEEE Transactions on Instrumentation and Measurement,48,https://doi.org/10.1109/tim.2021.3085110,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Comparing with X-ray, ultrasound imaging has the advantages of no radiation and easy operation, etc., which is expected to be an effective alternative in clinical assessment for the human spine. At present, freehand scanning is mainly used in ultrasound imaging field, and recently robot-assisted scanning has emerged as a promising way to gradually reduce human intervention. However, the automatic recognition and scanning, as well as the control strategy of robots that guarantee the tight coupling between a probe and human skin, are still challenges. Moreover, the current measurement method of the spine is usually conducted based on plain radiographs, which lacks spatial structure information of spine. In this article, a new radiation-free robotic ultrasound system for 3-D imaging and a measurement method of the spine based on 3-D imaging are presented. A fully convolutional network (FCN) named fuse-Unet based on RGB and depth images captured by an RGB-depth (RGB-D) sensor Kinect, is proposed to realize the automatic recognition of human spine area and scanning path pre-planning. Then a six-degree-of-freedom robotic arm plays the role of a doctor to complete the automatic scanning along the pre-planning path, during which a normal-vector-based method and two force sensors are used to ensure that the probe well fits the spine area. Finally, 3-D ultrasound reconstruction and visualization of the spine are realized, based on which cobb angles are calculated for assessing the morphological structure of the spine. Phantom and in vivo experiments are conducted for evaluating the performance of the proposed system. Experimental results validate the practicability and accuracy of the system, indicating its potential for clinical application."
OpenAlex; Europe PMC,MED:24257431; W1972003883,10.1097/mou.0000000000000011,24257431,Robotic ultrasound and needle guidance for prostate cancer management,2013,2013-11-20,article,Current Opinion in Urology,33,https://doi.org/10.1097/mou.0000000000000011,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose of review</h4>To present the recent advances in needle guidance and robotic ultrasound technology which are used for prostate cancer (PCa) diagnosis and management.<h4>Recent findings</h4>Prostate biopsy technology has remained relatively unchanged. Improved needle localization and precision would allow for better management of this common disease. Robotic ultrasound and needle guidance is one strategy to improve needle localization and diagnostic accuracy of PCa. This review focuses on the recent advances in robotic ultrasound and needle guidance technologies, and their potential impact on PCa diagnosis and management.<h4>Summary</h4>The use of robotic ultrasound and robotic-assisted needle guidance has the potential to improve PCa diagnosis and management."
OpenAlex; Europe PMC,W2215544116; MED:26571522,10.1109/tuffc.2015.2499084,26571522,A Robotic Ultrasound Scanner for Automatic Vessel Tracking and Three-Dimensional Reconstruction of B-Mode Images,2015,2015-11-09,article,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,54,https://doi.org/10.1109/tuffc.2015.2499084,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Locating and evaluating the length and severity of a stenosis is very important for planning adequate treatment of peripheral arterial disease (PAD). Conventional ultrasound (US) examination cannot provide maps of entire lower limb arteries in 3-D. We propose a prototype 3D-US robotic system with B-mode images, which is nonionizing, noninvasive, and is able to track and reconstruct a continuous segment of the lower limb arterial tree between the groin and the knee. From an initialized cross-sectional view of the vessel, automatic tracking was conducted followed by 3D-US reconstructions evaluated using Hausdorff distance, cross-sectional area, and stenosis severity in comparison with 3-D reconstructions with computed tomography angiography (CTA). A mean Hausdorff distance of 0.97 ± 0.46 mm was found in vitro for 3D-US compared with 3D-CTA vessel representations. To evaluate the stenosis severity in vitro, 3D-US reconstructions gave errors of 3%-6% when compared with designed dimensions of the phantom, which are comparable to 3D-CTA reconstructions, with 4%-13% errors. The in vivo system's feasibility to reconstruct a normal femoral artery segment of a volunteer was also investigated. These results encourage further ergonomic developments to increase the robot's capacity to represent lower limb vessels in the clinical context."
OpenAlex; Europe PMC,MED:23302984; W2791241606,10.1213/ane.0b013e3182713b49,23302984,First Robotic Ultrasound-Guided Nerve Blocks in Humans Using the Magellan System,2013,2013-01-08,article,Anesthesia & Analgesia,41,https://doi.org/10.1213/ane.0b013e3182713b49,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Background</h4>Ultrasound-guided nerve blocks are becoming a standard of modern anesthesia. We developed a robotic system, Magellan, to perform nerve blocks using a remote control center.<h4>Methods</h4>Thirteen patients were enrolled in this pilot study. The Magellan system consists of 3 main components: a joystick, a robotic arm, and a software control system. The joystick allows simulation of wrist or arm movements of the proceduralist. After localization of the sciatic nerve, 35 mL of bupivacaine 0.25% was injected. The success rate of sciatic nerve blocks and block performance times (performance time=interval of time from the start of the ultrasound search for the nerve to the end of the injection of the drug; robotic time=interval of time from the identification of the nerve to the end of the injection of the drug) were determined. Data are presented as median (25th, 75th; minimal, maximal) and categorical data.<h4>Results</h4>Eight men and 5 women aged 34 years were included in this study. Nerve blocks were successful in all patients. A successful attempt was defined as the introduction of the needle into the nerve sheath; motor or sensory block was not used to determine the success rate. The nerve performance time was 189 seconds (150, 233; 90, 305), whereas the robotic time was 164 seconds (121, 210; 73, 271).<h4>Conclusions</h4>We present the first human testing of a robotic ultrasound-guided nerve block system. The success rate was 100%. The total performance time was approximately 3 minutes to 4 minutes."
OpenAlex,W2555681516,10.1109/mra.2016.2580478,,"Robotic Ultrasound: View Planning, Tracking, and Automatic Acquisition of Transesophageal Echocardiography",2016,2016-11-07,article,IEEE Robotics & Automation Magazine,35,https://doi.org/10.1109/mra.2016.2580478,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Automatic ultrasound acquisitions using medical robots would greatly increase the general usability of medical ultrasound with the added benefits of remote control and built-in intelligence. However, novel methods are required to provide an overall workflow linking robotic systems with ultrasound acquisitions. Based on a newly developed robot for transesophageal echocardiography (TEE), we propose a view-planning platform, an autoadaption method for patient-specific data, and an image-based probe tracking method. With all of these ingredients, a phantom experiment was performed with both openloop and closed-loop positioning methods, aimed at proving the concept of automatic ultrasound acquisition. The results demonstrated the feasibility of the whole workflow and indicated high accuracy of acquisition in terms of keeping desired anatomies in the field of view."
OpenAlex,W4323338439,10.1109/tie.2023.3250767,,Inverse-Reinforcement-Learning-Based Robotic Ultrasound Active Compliance Control in Uncertain Environments,2023,2023-03-06,article,IEEE Transactions on Industrial Electronics,42,https://doi.org/10.1109/tie.2023.3250767,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Robotic ultrasound systems (RUSs) have gained increasing attention because they can automate repetitive procedures and relieve operators’ workloads. However, the complexity and uncertainty of the human surface pose a challenge for stable scanning control. This article proposes a general active compliance control strategy based on inverse reinforcement learning (IRL) to perform adaptable scanning for uncertain and unstructured environments. We analyze the manual scanning process pattern and propose a velocity-and-force-related control strategy to achieve variable force control and handle unpredictable deformation. Then, a hybrid policy optimization framework is proposed to improve transferability. In this framework, a reinforcement learning policy with a predefined reward is built to establish the relationship between contact force and posture. Furthermore, the policy is re-optimized using IRL and generated demonstrations for IRL training. The policy is trained on simple standard phantoms and further evaluated for stability and transferability in unseen and complex environments. Quantitative results show that the difference between the proposed method and the three-dimensional (3-D) reconstructed model in terms of posture is (2.3±1.3°, 1.9±1.2°) in continuous scans. Overall, our method provides a solution for improving the usability of RUSs in real-world environments."
