title,year,publication_date,doi,pmid,url,venue,cited_by_count,primary_task,task_en,task_zh,evidence_tier,source_dbs,source_ids
Force-Ultrasound Fusion: Bringing Spine Robotic-US to the Next “Level”,2020,2020-07-14,10.1109/lra.2020.3009069,,https://doi.org/10.1109/lra.2020.3009069,IEEE Robotics and Automation Letters,1,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3008846620
From design through to clinical validation of a soft end-effector for robot-assisted ultrasound imaging,2020,2020-01-01,,,https://openalex.org/W3082337227,Research Portal (King's College London),0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,ETH:806797; W3082337227
Integrated surgery and radiology: trans-oral robotic surgery guided by real-time radiologist-operated intraoral ultrasound,2020,2020-07-08,10.1007/s10006-020-00880-5,,https://doi.org/10.1007/s10006-020-00880-5,Oral and Maxillofacial Surgery,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3041604520
Intraoperative ultrasound: technique and clinical experience in robotic-assisted renal partial nephrectomy for endophytic renal tumors,2020,2020-10-01,10.1007/s11255-020-02664-y,33006090.0,https://doi.org/10.1007/s11255-020-02664-y,International Urology and Nephrology,38,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W3089710225; MED:33006090
Learning rewards for robotic ultrasound scanning using probabilistic\n temporal ranking,2020,2020-02-04,10.48550/arxiv.2002.01240,,https://doi.org/10.48550/arxiv.2002.01240,arXiv (Cornell University),1,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4382132587; W3026823840
Learning robotic ultrasound scanning using probabilistic temporal ranking.,2020,2020-02-04,,,https://openalex.org/W3005507249,arXiv (Cornell University),4,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3005507249
MP68-18 CONSOLE-INTEGRATED REAL-TIME THREE-DIMENSIONAL (3D) PHYSICAL MODEL NAVIGATION FOR ROBOTIC PARTIAL NEPHRECTOMY IN PATIENT WITH HIGHLY COMPLEX RENAL TUMORS (RENAL NEPHROMETRY SCORE≥7): PROSPECTIVE CASE-MATCHED STUDY,2020,2020-04-01,10.1097/ju.0000000000000948.018,,https://doi.org/10.1097/ju.0000000000000948.018,The Journal of Urology,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3020936112
OC04.03: Telerobotic ultrasound to remotely provide obstetrical ultrasound services during the COVID‐19 pandemic,2020,2020-10-01,10.1002/uog.22222,,https://doi.org/10.1002/uog.22222,Ultrasound in Obstetrics and Gynecology,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W3094501585; PMC:PMC7675643
Personalised three‐dimensional printed transparent kidney model for robot‐assisted partial nephrectomy in patients with complex renal tumours (R.E.N.A.L. nephrometry score ≥7): a prospective case‐matched study,2020,2020-11-04,10.1111/bju.15275,33064867.0,https://doi.org/10.1111/bju.15275,British Journal of Urology,17,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W3111169874; MED:33064867
Pilot Study of Robot-Assisted Teleultrasound Based on 5G Network: A New Feasible Strategy for Early Imaging Assessment During COVID-19 Pandemic,2020,2020-09-03,10.1109/tuffc.2020.3020721,32881685.0,https://doi.org/10.1109/tuffc.2020.3020721,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,69,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:32881685; W3082132120
Robot-Assisted Semi-Autonomous Ultrasound Imaging With Tactile Sensing and Convolutional Neural-Networks,2020,2020-12-24,10.1109/tmrb.2020.3047154,,https://doi.org/10.1109/tmrb.2020.3047154,IEEE Transactions on Medical Robotics and Bionics,18,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3113980039
Robot-assisted Ultrasound-guided Tracking of Anatomical Structures for the Application of Focused Ultrasound,2020,2020-09-01,10.1515/cdbme-2020-3032,,https://doi.org/10.1515/cdbme-2020-3032,Current Directions in Biomedical Engineering,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3130196539
Robot-assisted ultrasound navigation platform for 3D HIFU treatment planning: Initial evaluation for conformal interstitial ablation,2020,2020-08-01,10.1016/j.compbiomed.2020.103941,32818742.0,https://doi.org/10.1016/j.compbiomed.2020.103941,Computers in Biology and Medicine,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:32818742; W3046583476
Robotic Ultrasound Tomography and Collaborative Control,2020,2020-05-08,,,https://openalex.org/W3093225697,,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3093225697
Robotized Ultrasound Imaging of the Peripheral Arteries -- a Phantom\n Study,2020,2020-07-13,10.48550/arxiv.2007.06278,,https://doi.org/10.48550/arxiv.2007.06278,arXiv (Cornell University),0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4286787701
Robotized ultrasound imaging of the peripheral arteries – a phantom study,2020,2020-09-01,10.1515/cdbme-2020-0033,,https://doi.org/10.1515/cdbme-2020-0033,DOAJ (DOAJ: Directory of Open Access Journals),14,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3091414563; W3041904324
Role of 5G-powered remote robotic ultrasound during the COVID-19 outbreak: insights from two cases.,2020,2020-07-01,10.26355/eurrev_202007_22283,32744706.0,https://doi.org/10.26355/eurrev_202007_22283,PubMed,21,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W3046590135; MED:32744706
Role of intraoperative ultrasound in robotic-assisted radical nephrectomy with inferior vena cava thrombectomy in renal cell carcinoma,2020,2020-03-05,10.1007/s00345-020-03141-y,,https://doi.org/10.1007/s00345-020-03141-y,World Journal of Urology,11,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3009982958
Sonography of the Lungs: Diagnosis and Surveillance of Patients With COVID-19,2020,2020-04-21,10.1177/8756479320917107,,https://doi.org/10.1177/8756479320917107,Journal of diagnostic medical sonography,22,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3017340315
Telerobotic Sonography for Remote Diagnostic Imaging,2020,2020-10-14,10.1002/jum.15525,33058242.0,https://doi.org/10.1002/jum.15525,Journal of Ultrasound in Medicine,50,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33058242; W3092867968
Telerobotic ultrasound to provide obstetrical ultrasound services remotely during the COVID-19 pandemic,2020,2020-10-20,10.1177/1357633x20965422,33076753.0,https://doi.org/10.1177/1357633x20965422,Journal of Telemedicine and Telecare,48,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W3092780268; MED:33076753
Towards the automation of robotic ultrasound scanning : using simulation to tune and test optimal robot control during tissue interaction,2020,2020-06-06,,,https://openalex.org/W3193311957,,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3193311957
A Constant-Force End-Effector With Online Force Adjustment for Robotic Ultrasonography,2021,2021-02-23,10.1109/lra.2021.3061329,33748416.0,https://doi.org/10.1109/lra.2021.3061329,IEEE Robotics and Automation Letters,29,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33748416; W3130510843
A Toolkit for Haptic Force Feedback in a Telerobotic Ultrasound System,2021,2021-06-24,10.21203/rs.3.rs-646007/v1,34689794.0,https://doi.org/10.21203/rs.3.rs-646007/v1,Research Square,2,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W3177182816; PPR:PPR361170; W4232569186; MED:34689794
A novel complementation method of an acoustic shadow region utilizing a convolutional neural network for ultrasound-guided therapy,2021,2021-11-21,10.1007/s11548-021-02525-8,34802143.0,https://doi.org/10.1007/s11548-021-02525-8,International Journal of Computer Assisted Radiology and Surgery,3,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W3216446656; MED:34802143
An Improved Sensing Method of a Robotic Ultrasound System for Real-Time Force and Angle Calibration,2021,2021-04-22,10.3390/s21092927,33922012.0,https://doi.org/10.3390/s21092927,Sensors,14,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33922012; W3155267607
Artificial Intelligence and Robotics in Regional Anaesthesia: Do they have a role?,2021,2021-01-01,10.22514/sv.2021.192,,https://doi.org/10.22514/sv.2021.192,Signa Vitae,4,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3199196557
Automatic 3-D Imaging and Measurement of Human Spines With a Robotic Ultrasound System,2021,2021-01-01,10.1109/tim.2021.3085110,,https://doi.org/10.1109/tim.2021.3085110,IEEE Transactions on Instrumentation and Measurement,48,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3171622331
Autonomic Robotic Ultrasound Imaging System Based on Reinforcement Learning,2021,2021-01-26,10.1109/tbme.2021.3054413,33497322.0,https://doi.org/10.1109/tbme.2021.3054413,IEEE Transactions on Biomedical Engineering,94,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33497322; W3125472763
Autonomous Scanning Target Localization for Robotic Lung Ultrasound Imaging.,2021,2021-09-01,10.1109/iros51168.2021.9635902,35965637.0,https://doi.org/10.1109/iros51168.2021.9635902,Proceedings of the ... IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE/RSJ International Conference on Intelligent Robots and Systems,11,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),Europe PMC,MED:35965637
Erratum: Use of 3D Robotic Ultrasound for In Vivo Analysis of Mouse Kidneys.,2021,2021-10-06,10.3791/6479,34612855.0,https://doi.org/10.3791/6479,Journal of visualized experiments : JoVE,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),Europe PMC,MED:34612855
Force-guided autonomous robotic ultrasound scanning control method for soft uncertain environment,2021,2021-08-09,10.1007/s11548-021-02462-6,34373973.0,https://doi.org/10.1007/s11548-021-02462-6,International Journal of Computer Assisted Radiology and Surgery,35,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W3191221135; MED:34373973
Highlights of the development in ultrasound during the last 70 years: A historical review,2021,2021-11-01,10.1177/02841851211050859,,https://doi.org/10.1177/02841851211050859,Acta Radiologica,43,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3213917921
Image-Guided Navigation of a Robotic Ultrasound Probe for Autonomous Spinal Sonography Using a Shadow-aware Dual-Agent Framework,2021,2021-11-03,10.1109/tmrb.2021.3127015,,https://doi.org/10.1109/tmrb.2021.3127015,arXiv (Cornell University),45,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3213118596; W3209068503
"Improving access to ultrasound imaging in northern, remote communities",2021,2021-08-01,,,https://openalex.org/W3196345917,University Library - University of Saskatchewan (University of Saskatchewan),0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3196345917
Industrial robot-based system design of thickness scanning measurement using ultrasonic,2021,2021-05-12,10.5194/ms-12-479-2021,,https://doi.org/10.5194/ms-12-479-2021,Mechanical sciences,6,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3161212107
Integrating robot‐assisted ultrasound tracking and 3D needle shape prediction for real‐time tracking of the needle tip in needle steering procedures,2021,2021-05-06,10.1002/rcs.2272,33951748.0,https://doi.org/10.1002/rcs.2272,International Journal of Medical Robotics and Computer Assisted Surgery,29,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:33951748; W3157172568
Kinematic Optimization for the Design of a Collaborative Robot End-Effector for Tele-Echography,2021,2021-01-01,10.3390/robotics10010008,,https://doi.org/10.3390/robotics10010008,Robotics,8,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3116369102
Learning Robotic Ultrasound Scanning Skills via Human Demonstrations and Guided Explorations,2021,2021-11-02,10.48550/arxiv.2111.01625,,https://doi.org/10.48550/arxiv.2111.01625,arXiv (Cornell University),1,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4309444529
Medical Robotics for Ultrasound Imaging: Current Systems and Future Trends,2021,2021-02-22,10.1007/s43154-020-00037-y,34977593.0,https://doi.org/10.1007/s43154-020-00037-y,Current Robotics Reports,134,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W3133068115; MED:34977593
Mirage of Emerging Medical Technologies for Remote Diagnosis and Monitoring,2021,2021-09-01,,,https://openalex.org/W4380142410,DOAJ (DOAJ: Directory of Open Access Journals),0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4380142410
Preliminary examination of the potential of robot-assisted sonography - An ergonomic tool for obstetric sonographers,2021,2021-06-11,10.1016/j.apergo.2021.103479,34126571.0,https://doi.org/10.1016/j.apergo.2021.103479,Applied Ergonomics,12,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:34126571; W3169802070
Probe contact forces during obstetric ultrasound scans - A design parameter for robot-assisted ultrasound,2021,2021-09-30,10.1016/j.ergon.2021.103224,,https://doi.org/10.1016/j.ergon.2021.103224,International Journal of Industrial Ergonomics,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3199866477
Quantitative Evaluation of a Telerobotic System for Vascular Ultrasound Measurement on a Short Arm Human Centrifuge,2021,2021-01-23,10.1007/s12217-020-09850-8,33519098.0,https://doi.org/10.1007/s12217-020-09850-8,Microgravity Science and Technology,6,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33519098; W3121663886
RobUSt–An Autonomous Robotic Ultrasound System for Medical Imaging,2021,2021-01-01,10.1109/access.2021.3077037,,https://doi.org/10.1109/access.2021.3077037,IEEE Access,60,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3159554907
Robot-assisted Magnetic Resonance Imaging-ultrasound Fusion Transperineal Targeted Biopsy,2021,2021-06-26,10.1016/j.urology.2021.06.008,34186128.0,https://doi.org/10.1016/j.urology.2021.06.008,Urology,6,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:34186128; W3173845577
Robot-assisted biopsies on mr-detected lesions,2021,2021-12-16,10.3990/1.9789036553223,,https://doi.org/10.3990/1.9789036553223,,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4200018010
Robotic Ultrasound Scanning With Real-Time Image-Based Force Adjustment: Quick Response for Enabling Physical Distancing During the COVID-19 Pandemic,2021,2021-03-22,10.3389/frobt.2021.645424,33829043.0,https://doi.org/10.3389/frobt.2021.645424,Frontiers in Robotics and AI,41,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:33829043; W3139460796
Tele-Operative Low-Cost Robotic Lung Ultrasound Scanning Platform for Triage of COVID-19 Patients,2021,2021-03-24,10.1109/lra.2021.3068702,34532570.0,https://doi.org/10.1109/lra.2021.3068702,IEEE Robotics and Automation Letters,55,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:34532570; W3094155404
Tele-operated robotic ultrasound system for medical diagnosis,2021,2021-07-16,10.1016/j.bspc.2021.102900,,https://doi.org/10.1016/j.bspc.2021.102900,Biomedical Signal Processing and Control,39,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3185513125
Three-Dimensional Carpal Arch Morphology Using Robot-Assisted Ultrasonography,2021,2021-08-30,10.1109/tbme.2021.3108720,34460363.0,https://doi.org/10.1109/tbme.2021.3108720,IEEE Transactions on Biomedical Engineering,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:34460363; W3196345461
Towards Fully Autonomous Ultrasound Scanning Robot With Imitation Learning Based on Clinical Protocols,2021,2021-03-08,10.1109/lra.2021.3064283,,https://doi.org/10.1109/lra.2021.3064283,IEEE Robotics and Automation Letters,69,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W3135545534
Towards automated ultrasound imaging—robotic image acquisition in liver and prostate for long-term motion monitoring,2021,2021-03-26,10.1088/1361-6560/abf277,33770768.0,https://doi.org/10.1088/1361-6560/abf277,Physics in Medicine and Biology,39,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W3139404660; MED:33770768
Use of 3D Robotic Ultrasound for &lt;em&gt;In Vivo&lt;/em&gt; Analysis of Mouse Kidneys,2021,2021-08-12,10.3791/62682,34459826.0,https://doi.org/10.3791/62682,Journal of Visualized Experiments,3,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W4213021067; W3194833211; MED:34459826
34 - Transrectal ultrasound guided hydro dissection of the rectum-vesicular layer before robot assisted radical prostatectomy: Proposal of a new technique to improve early recovery of continence,2022,2022-06-01,10.1016/j.cont.2022.100075,,https://doi.org/10.1016/j.cont.2022.100075,Continence,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4283168291
A Flexible and Fully Autonomous Breast Ultrasound Scanning System,2022,2022-07-15,10.1109/tase.2022.3189339,,https://doi.org/10.1109/tase.2022.3189339,IEEE Transactions on Automation Science and Engineering,38,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4285505126
A Telerobotic Ultrasound Clinic Model of Ultrasound Service Delivery to Improve Access to Imaging in Rural and Remote Communities,2022,2022-01-01,10.1016/j.jacr.2021.07.023,35033305.0,https://doi.org/10.1016/j.jacr.2021.07.023,Journal of the American College of Radiology,30,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:35033305; W4206000389
A VS ultrasound diagnostic system with kidney image evaluation functions,2022,2022-10-05,10.1007/s11548-022-02759-0,36198998.0,https://doi.org/10.1007/s11548-022-02759-0,International Journal of Computer Assisted Radiology and Surgery,9,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:36198998; W4302027115
A multimodal user interface for touchless control of robotic ultrasound,2022,2022-12-24,10.1007/s11548-022-02810-0,36565368.0,https://doi.org/10.1007/s11548-022-02810-0,International Journal of Computer Assisted Radiology and Surgery,14,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W4312129163; MED:36565368
A-SEE: Active-Sensing End-Effector Enabled Probe Self-Normal-Positioning for Robotic Ultrasound Imaging Applications,2022,2022-10-01,10.1109/lra.2022.3218183,37325198.0,https://doi.org/10.1109/lra.2022.3218183,IEEE Robotics and Automation Letters,29,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:37325198; W4309326651
AI-based optimization for US-guided radiation therapy of the prostate,2022,2022-05-20,10.1007/s11548-022-02664-6,35593988.0,https://doi.org/10.1007/s11548-022-02664-6,International Journal of Computer Assisted Radiology and Surgery,4,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:35593988; W4281252766
Acoustic Shadowing Aware Robotic Ultrasound: Lighting up the Dark,2022,2022-01-10,10.1109/lra.2022.3141451,,https://doi.org/10.1109/lra.2022.3141451,IEEE Robotics and Automation Letters,9,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4206018727
Automatic Generation of Autonomous Ultrasound Scanning Trajectory Based on 3-D Point Cloud,2022,2022-11-01,10.1109/tmrb.2022.3214493,,https://doi.org/10.1109/tmrb.2022.3214493,IEEE Transactions on Medical Robotics and Bionics,24,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4309677235
Clinical application of a 5G-based telerobotic ultrasound system for thyroid examination on a rural island: a prospective study,2022,2022-02-18,10.1007/s12020-022-03011-0,35182363.0,https://doi.org/10.1007/s12020-022-03011-0,Endocrine,19,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:35182363; W4213060782
Current Applications of Robot-Assisted Ultrasound Examination,2022,2022-10-19,10.1016/j.jcmg.2022.07.018,36648034.0,https://doi.org/10.1016/j.jcmg.2022.07.018,JACC. Cardiovascular imaging,39,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W4306827115; MED:36648034
Development and Testing of a Durable and Novel Breast Phantom for Robotic Autonomous Ultrasound Systems,2022,2022-11-16,10.1142/s2424905x22410100,,https://doi.org/10.1142/s2424905x22410100,Journal of Medical Robotics Research,2,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4309324755
Digital Twin-Based Skill Training With a Hands-On User Interaction Device to Assist in Manual and Robotic Ultrasound Scanning,2022,2022-01-01,10.1109/jrfid.2022.3205049,,https://doi.org/10.1109/jrfid.2022.3205049,IEEE Journal of Radio Frequency Identification,12,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4294982489
Dose- and time-dependent effects of collagenase clostridium histolyticum injection on transverse carpal ligament elastic modulus and thickness in vitro,2022,2022-12-01,10.1371/journal.pone.0277187,36454942.0,https://doi.org/10.1371/journal.pone.0277187,PLoS ONE,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:36454942; W4310529693
Economic Evaluation of Telerobotic Ultrasound Technology to Remotely Provide Ultrasound Services in Rural and Remote Communities,2022,2022-07-30,10.1002/jum.16070,35906950.0,https://doi.org/10.1002/jum.16070,Journal of Ultrasound in Medicine,12,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,MED:35906950; W4288902617
Follow the Curve: Robotic Ultrasound Navigation With Learning-Based Localization of Spinous Processes for Scoliosis Assessment,2022,2022-01-01,10.1109/access.2022.3165936,,https://doi.org/10.1109/access.2022.3165936,IEEE Access,28,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4298197250; W3201252943
Full-Coverage Path Planning and Stable Interaction Control for Automated Robotic Breast Ultrasound Scanning,2022,2022-09-13,10.1109/tie.2022.3204967,,https://doi.org/10.1109/tie.2022.3204967,IEEE Transactions on Industrial Electronics,56,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4295832261
Functional and surgical outcomes of Aquablation in elderly men,2022,2022-08-30,10.1007/s00345-022-04137-6,36040501.0,https://doi.org/10.1007/s00345-022-04137-6,World Journal of Urology,16,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,MED:36040501; W4293553773
Impedance Control on Arbitrary Surfaces for Ultrasound Scanning Using Discrete Differential Geometry,2022,2022-06-22,10.1109/lra.2022.3184800,,https://doi.org/10.1109/lra.2022.3184800,IEEE Robotics and Automation Letters,29,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4285307466
Intravascular Tracking of Micro-Agents Using Medical Ultrasound: Towards Clinical Applications,2022,2022-05-23,10.1109/tbme.2022.3176746,35604994.0,https://doi.org/10.1109/tbme.2022.3176746,IEEE Transactions on Biomedical Engineering,18,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W4282921429; MED:35604994
Learning ultrasound scanning skills from human demonstrations,2022,2022-06-27,10.1007/s11432-021-3363-0,,https://doi.org/10.1007/s11432-021-3363-0,Science China Information Sciences,12,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W3214604758; W4225634427
MP01-16 FUNCTIONAL AND SURGICAL OUTCOMES OF AQUABLATION IN ELDERLY MEN,2022,2022-04-07,10.1097/ju.0000000000002513.16,,https://doi.org/10.1097/ju.0000000000002513.16,The Journal of Urology,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4225259944
Medical Ultrasound Image Quality Assessment for Autonomous Robotic Screening,2022,2022-04-26,10.1109/lra.2022.3170209,,https://doi.org/10.1109/lra.2022.3170209,IEEE Robotics and Automation Letters,22,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4226514657
Novel Translational Approaches To Study Kidney Disease,2022,2022-08-30,10.3791/64711,,https://doi.org/10.3791/64711,Journal of Visualized Experiments,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4317823535
Precise Repositioning of Robotic Ultrasound: Improving Registration-Based Motion Compensation Using Ultrasound Confidence Optimization,2022,2022-01-01,10.1109/tim.2022.3200360,,https://doi.org/10.1109/tim.2022.3200360,IEEE Transactions on Instrumentation and Measurement,40,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4292793935
Quantitative stiffness assessment of cardiac grafts using ultrasound in a porcine model: A tissue biomarker for heart transplantation,2022,2022-08-03,10.1016/j.ebiom.2022.104201,,https://doi.org/10.1016/j.ebiom.2022.104201,EBioMedicine,11,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4289636889
ROBotic assisted UltraSonography sysTem (ROBUST)for radiographers in the healthcare industry,2022,2022-06-22,10.1016/j.jmir.2022.03.098,,https://doi.org/10.1016/j.jmir.2022.03.098,Journal of medical imaging and radiation sciences,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4283276325
RSV: Robotic Sonography for Thyroid Volumetry,2022,2022-01-27,10.1109/lra.2022.3146542,,https://doi.org/10.1109/lra.2022.3146542,IEEE Robotics and Automation Letters,30,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4210703720; W4226269459
Redundancy Exploitation of an 8-DoF Robotic Assistant for Doppler Sonography,2022,2022-01-24,10.3390/act11020033,,https://doi.org/10.3390/act11020033,Actuators,5,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4210335571
Reliability of Robotic Ultrasound Scanning for Scoliosis Assessment in Comparison with Manual Scanning,2022,2022-05-07,10.48550/arxiv.2205.03566,,https://doi.org/10.48550/arxiv.2205.03566,arXiv (Cornell University),0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W4280573505
